id,date,incident_type,severity,status,description,reported_by,created_at
1,2025-02-25,Data Breach,Medium,Resolved,Description for incident 1,Bob,2025-02-25 17:46:00
2,2025-01-12,Malware,High,Resolved,Description for incident 2,Security Team,2025-01-12 22:40:00
3,2025-01-08,Phishing,High,Open,Description for incident 3,Alice,2025-01-08 20:36:00
4,2025-01-14,Network Intrusion,Low,Mitigating,Description for incident 4,Web Team,2025-01-14 04:20:00
5,2025-01-02,Unauthorized Access,Medium,Investigating,Description for incident 5,Web Team,2025-01-02 15:13:00
6,2025-01-03,Ransomware,Medium,Mitigating,Description for incident 6,Eve,2025-01-03 22:39:00
7,2025-02-23,Data Breach,Medium,Mitigating,Description for incident 7,Charlie,2025-02-23 05:42:00
8,2025-02-22,Network Intrusion,Low,Resolved,Description for incident 8,Alice,2025-02-22 16:49:00
9,2025-02-13,Password Attack,Critical,Investigating,Description for incident 9,Alice,2025-02-13 15:52:00
10,2025-02-09,Malware,High,Open,Description for incident 10,Grace,2025-02-09 07:34:00
11,2025-02-01,Insider Threat,Medium,Investigating,Description for incident 11,Grace,2025-02-01 09:29:00
12,2025-02-07,Malware,Low,Open,Description for incident 12,Security Team,2025-02-07 17:45:00
13,2025-02-27,SQL Injection,High,Open,Description for incident 13,David,2025-02-27 21:11:00
14,2025-01-13,Network Intrusion,High,Mitigating,Description for incident 14,Charlie,2025-01-13 15:52:00
15,2025-02-14,Network Intrusion,Medium,Investigating,Description for incident 15,Web Team,2025-02-14 20:06:00
16,2025-02-03,Unauthorized Access,Medium,Resolved,Description for incident 16,IT Admin,2025-02-03 22:26:00
17,2025-01-17,Malware,High,Investigating,Description for incident 17,IT Admin,2025-01-17 15:53:00
18,2025-02-25,Network Intrusion,High,Resolved,Description for incident 18,Bob,2025-02-25 20:50:00
19,2025-02-05,Ransomware,Low,Open,Description for incident 19,David,2025-02-05 14:13:00
20,2025-02-13,Password Attack,High,Open,Description for incident 20,Charlie,2025-02-13 16:01:00
21,2025-02-25,Data Breach,Medium,Resolved,Description for incident 21,Eve,2025-02-25 13:19:00
22,2025-02-19,Network Intrusion,High,Resolved,Description for incident 22,Grace,2025-02-19 08:54:00
23,2025-01-20,Network Intrusion,Critical,Resolved,Description for incident 23,Grace,2025-01-20 04:12:00
24,2025-03-02,DDoS,High,Mitigating,Description for incident 24,David,2025-03-02 21:19:00
25,2025-01-08,Network Intrusion,Low,Resolved,Description for incident 25,Grace,2025-01-08 16:31:00
26,2025-02-20,DDoS,Medium,Mitigating,Description for incident 26,Bob,2025-02-20 03:43:00
27,2025-02-26,Password Attack,Critical,Mitigating,Description for incident 27,Security Team,2025-02-26 18:32:00
28,2025-02-06,DDoS,Low,Open,Description for incident 28,Charlie,2025-02-06 04:01:00
29,2025-01-15,DDoS,Low,Open,Description for incident 29,Alice,2025-01-15 07:49:00
30,2025-02-10,DDoS,Critical,Open,Description for incident 30,David,2025-02-10 18:31:00
31,2025-02-06,Malware,Medium,Investigating,Description for incident 31,Grace,2025-02-06 19:28:00
32,2025-02-15,Phishing,Low,Mitigating,Description for incident 32,David,2025-02-15 01:50:00
33,2025-01-10,Insider Threat,Medium,Open,Description for incident 33,Grace,2025-01-10 11:45:00
34,2025-02-06,Insider Threat,High,Investigating,Description for incident 34,Bob,2025-02-06 21:52:00
35,2025-01-04,Unauthorized Access,Low,Resolved,Description for incident 35,IT Admin,2025-01-04 03:48:00
36,2025-01-12,DDoS,Critical,Mitigating,Description for incident 36,David,2025-01-12 02:42:00
37,2025-01-25,Data Breach,High,Investigating,Description for incident 37,David,2025-01-25 09:24:00
38,2025-02-03,Ransomware,High,Resolved,Description for incident 38,Charlie,2025-02-03 15:31:00
39,2025-01-04,Data Breach,Low,Open,Description for incident 39,IT Admin,2025-01-04 00:43:00
40,2025-02-06,Phishing,High,Mitigating,Description for incident 40,Frank,2025-02-06 13:32:00
41,2025-01-03,Insider Threat,Low,Mitigating,Description for incident 41,Security Team,2025-01-03 23:22:00
42,2025-01-02,SQL Injection,Low,Investigating,Description for incident 42,Web Team,2025-01-02 23:12:00
43,2025-02-18,Insider Threat,Critical,Mitigating,Description for incident 43,Frank,2025-02-18 11:47:00
44,2025-02-13,DDoS,Low,Mitigating,Description for incident 44,Grace,2025-02-13 16:46:00
